 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        179567       52562040  [B (java.base@17.0.13)
   2:        163843        3932232  java.lang.String (java.base@17.0.13)
   3:        101558        3249856  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.13)
   4:         29597        2448032  [Ljava.lang.Object; (java.base@17.0.13)
   5:         20174        2383744  java.lang.Class (java.base@17.0.13)
   6:         64914        2077248  java.util.HashMap$Node (java.base@17.0.13)
   7:         23307        1836768  [Ljava.util.HashMap$Node; (java.base@17.0.13)
   8:         12071        1605544  [I (java.base@17.0.13)
   9:         38764        1550560  java.util.LinkedHashMap$Entry (java.base@17.0.13)
  10:           441        1348608  [C (java.base@17.0.13)
  11:         17623         986888  java.util.LinkedHashMap (java.base@17.0.13)
  12:           979         954256  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.13)
  13:         44313         709008  java.lang.Object (java.base@17.0.13)
  14:         10403         499344  java.util.HashMap (java.base@17.0.13)
  15:          5081         447128  java.lang.reflect.Method (java.base@17.0.13)
  16:         17443         418632  java.util.ArrayList (java.base@17.0.13)
  17:          6547         314256  java.lang.invoke.MemberName (java.base@17.0.13)
  18:         12448         298752  io.micrometer.core.instrument.ImmutableTag
  19:            52         265664  [S (java.base@17.0.13)
  20:          5290         211600  java.lang.ref.SoftReference (java.base@17.0.13)
  21:          5180         207200  java.lang.invoke.MethodType (java.base@17.0.13)
  22:          7166         192912  [Ljava.lang.Class; (java.base@17.0.13)
  23:          3439         192584  org.springframework.core.ResolvableType
  24:          4792         191680  io.micrometer.core.instrument.Meter$Id
  25:          5940         190080  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
  26:          3955         189840  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  27:          5865         187680  java.lang.ref.WeakReference (java.base@17.0.13)
  28:          2467         172480  [Ljava.lang.String; (java.base@17.0.13)
  29:          5188         166016  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.13)
  30:          5030         160960  org.apache.kafka.common.MetricName
  31:          4974         159168  org.apache.kafka.common.metrics.KafkaMetric
  32:            96         157896  [Ljava.nio.ByteBuffer; (java.base@17.0.13)
  33:          4707         152824  [Lio.micrometer.core.instrument.Tag;
  34:          4674         149568  java.util.Collections$UnmodifiableMap (java.base@17.0.13)
  35:          2082         133248  org.apache.kafka.common.metrics.Sensor
  36:          1987         127168  java.util.concurrent.ConcurrentHashMap (java.base@17.0.13)
  37:           647         124224  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  38:          4707         112968  io.micrometer.core.instrument.Tags
  39:          4567         109608  io.micrometer.core.instrument.binder.kafka.KafkaMetrics$$Lambda$2315/0x0000000100c1a238
  40:          4485         107640  java.lang.invoke.ResolvedMethodName (java.base@17.0.13)
  41:          3905          93720  java.time.Instant (java.base@17.0.13)
  42:          3848          92352  org.apache.kafka.common.telemetry.internals.MetricKey
  43:           510          89760  org.springframework.beans.factory.support.RootBeanDefinition
  44:          1221          87912  java.lang.reflect.Constructor (java.base@17.0.13)
  45:          2735          87520  org.apache.kafka.common.protocol.types.Field
  46:          5302          84832  java.util.HashMap$EntrySet (java.base@17.0.13)
  47:          3430          82320  org.apache.kafka.common.metrics.Sensor$StatAndConfig
  48:          5058          80928  java.util.LinkedHashMap$LinkedEntrySet (java.base@17.0.13)
  49:          1986          79440  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.13)
  50:          3263          78312  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@17.0.13)
  51:          1932          77280  java.security.cert.TrustAnchor (java.base@17.0.13)
  52:          1379          77224  org.springframework.core.annotation.TypeMappedAnnotation
  53:          3149          75576  org.apache.kafka.common.protocol.types.BoundField
  54:          2332          74624  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.13)
  55:          3005          72120  io.micrometer.core.instrument.internal.DefaultGauge
